"","pro","eff","dose"
"1",0.0862988649850638,0.0101010101010101,1
"2",0.129290973784319,0.0202020202020202,1
"3",0.12983667386966,0.212121212121212,1
"4",0.123634848125777,0.0101010101010101,1
"5",0.0857999365492255,0.0101010101010101,1
"6",0.105902175117092,0.0505050505050505,1
"7",0.0983531792197412,0.0202020202020202,1
"8",0.129766459710063,0.0404040404040404,1
"9",0.109196366174206,0.101010101010101,1
"10",0.120162778265171,0.121212121212121,1
"11",0.110073247934477,0.0101010101010101,1
"12",0.165010463204693,0.0101010101010101,1
"13",0.0819726924822969,0.0101010101010101,1
"14",0.133974746856787,0.121212121212121,1
"15",0.145476369251566,0.0101010101010101,1
"16",0.0960426200150253,0.0101010101010101,1
"17",0.136138407577455,0.0101010101010101,1
"18",0.114616709778798,0.0101010101010101,1
"19",0.111695208015733,0.0101010101010101,1
"20",0.135908500038105,0.0202020202020202,1
"21",0.120149943487726,0.0101010101010101,1
"22",0.172222157371961,0.0404040404040404,1
"23",0.141541556459147,0.262626262626263,1
"24",0.109266834733151,0.0202020202020202,1
"25",0.142265954896864,0.0101010101010101,1
"26",0.126906129196777,0.252525252525253,1
"27",0.110801455213434,0.252525252525253,1
"28",0.0998057351972578,0.111111111111111,1
"29",0.0901651767417393,0.343434343434343,1
"30",0.119456114343862,0.0404040404040404,1
"31",0.110182961567229,0.202020202020202,1
"32",0.11487945310532,0.0909090909090909,1
"33",0.0949175963454005,0.0303030303030303,1
"34",0.138308561448013,0.0505050505050505,1
"35",0.102802772489879,0.0505050505050505,1
"36",0.0943371030469884,0.0101010101010101,1
"37",0.127522569793132,0.0404040404040404,1
"38",0.107354258186339,0.0101010101010101,1
"39",0.102475067111883,0.0505050505050505,1
"40",0.140811947913961,0.161616161616162,1
"41",0.12526562609145,0.0101010101010101,1
"42",0.0828752939366219,0.0101010101010101,1
"43",0.096557874324114,0.0101010101010101,1
"44",0.10613727133467,0.0101010101010101,1
"45",0.140450695798007,0.0404040404040404,1
"46",0.13190504745936,0.0303030303030303,1
"47",0.0982112726459215,0.0101010101010101,1
"48",0.0745332278535486,0.0101010101010101,1
"49",0.103224419670169,0.0404040404040404,1
"50",0.0973474282152571,0.131313131313131,1
"51",0.111684301586218,0.202020202020202,1
"52",0.122669736286245,0.0505050505050505,1
"53",0.129140380894677,0.0303030303030303,1
"54",0.132345660942043,0.0101010101010101,1
"55",0.109783448482167,0.404040404040404,1
"56",0.117042171961291,0.0101010101010101,1
"57",0.111142108545929,0.0505050505050505,1
"58",0.157859981996326,0.0909090909090909,1
"59",0.117644775543589,0.0202020202020202,1
"60",0.167805192187051,0.313131313131313,1
"61",0.0905468404655104,0.0808080808080808,1
"62",0.148619982332354,0.0101010101010101,1
"63",0.130087621337386,0.0404040404040404,1
"64",0.10703675051751,0.151515151515152,1
"65",0.16919733138042,0.313131313131313,1
"66",0.151839477700195,0.0707070707070707,1
"67",0.129321446732452,0.0101010101010101,1
"68",0.130299077242385,0.0202020202020202,1
"69",0.107578113944298,0.0505050505050505,1
"70",0.0957274351367788,0.0404040404040404,1
"71",0.14221533460556,0.0303030303030303,1
"72",0.1391109067192,0.0303030303030303,1
"73",0.138199433342303,0.0101010101010101,1
"74",0.164492824818744,0.161616161616162,1
"75",0.0939202698605882,0.0101010101010101,1
"76",0.106917226524844,0.0707070707070707,1
"77",0.153217788046195,0.101010101010101,1
"78",0.131174902502763,0.0909090909090909,1
"79",0.0811765476044504,0.202020202020202,1
"80",0.146476731916681,0.0101010101010101,1
"81",0.150480354847103,0.0808080808080808,1
"82",0.134820523193493,0.131313131313131,1
"83",0.0842936859455144,0.0101010101010101,1
"84",0.148534433411419,0.0101010101010101,1
"85",0.168992399461208,0.0808080808080808,1
"86",0.0897847071525478,0.0303030303030303,1
"87",0.0966334796766714,0.0404040404040404,1
"88",0.134779078507364,0.0505050505050505,1
"89",0.128940027320572,0.0101010101010101,1
"90",0.10238515728938,0.0505050505050505,1
"91",0.112540599499768,0.121212121212121,1
"92",0.153742797053161,0.0101010101010101,1
"93",0.105017152743091,0.0101010101010101,1
"94",0.153805320670161,0.0101010101010101,1
"95",0.125605726984262,0.0202020202020202,1
"96",0.127283212509327,0.151515151515152,1
"97",0.157075118114979,0.0101010101010101,1
"98",0.132400556627808,0.0404040404040404,1
"99",0.140203896937755,0.0101010101010101,1
"100",0.128809677021611,0.0808080808080808,1
"101",0.103341490011054,0.181818181818182,1
"102",0.130504957361345,0.393939393939394,1
"103",0.157181194067241,0.0505050505050505,1
"104",0.153858271462692,0.0202020202020202,1
"105",0.134399717999972,0.0606060606060606,1
"106",0.122660343368911,0.0101010101010101,1
"107",0.090149463994844,0.171717171717172,1
"108",0.130770432939199,0.0505050505050505,1
"109",0.0930344704832389,0.303030303030303,1
"110",0.121628448341705,0.0101010101010101,1
"111",0.128711172791332,0.0606060606060606,1
"112",0.124053969164325,0.202020202020202,1
"113",0.139649527447899,0.323232323232323,1
"114",0.125777974184796,0.0808080808080808,1
"115",0.110846951022407,0.0707070707070707,1
"116",0.111021725831232,0.0101010101010101,1
"117",0.142502162681209,0.131313131313131,1
"118",0.0978451700155603,0.0101010101010101,1
"119",0.140512481177126,0.232323232323232,1
"120",0.099572082280185,0.0101010101010101,1
"121",0.128419558244127,0.0101010101010101,1
"122",0.105606543865454,0.0202020202020202,1
"123",0.138682769833227,0.0505050505050505,1
"124",0.155164143658343,0.0202020202020202,1
"125",0.11040349518282,0.0303030303030303,1
"126",0.0919261782799519,0.0101010101010101,1
"127",0.105232682015408,0.0707070707070707,1
"128",0.144698511747881,0.0202020202020202,1
"129",0.0902195111182724,0.0909090909090909,1
"130",0.118394113099492,0.0101010101010101,1
"131",0.121310283506075,0.0707070707070707,1
"132",0.138962371523672,0.0303030303030303,1
